Trial 0 finished with best value: 0.8699646084649504 and parameters: {'prop_minority': 0.3, 'shrinkage': 1.9559945407135455, 'criterion': 'entropy', 'max_features': 'sqrt', 'max_depth': 26, 'min_samples_split': 16, 'min_samples_leaf': 3, 'max_leaf_node': 55}. 
Trial 2 finished with best value: 0.8704478091447996 and parameters: {'prop_minority': 0.4, 'shrinkage': 2.2361563116349368, 'criterion': 'gini', 'max_features': 'sqrt', 'max_depth': 23, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_leaf_node': 184}. 
Trial 4 finished with best value: 0.8706317622186295 and parameters: {'prop_minority': 0.45, 'shrinkage': 0.1085310070918748, 'criterion': 'entropy', 'max_features': None, 'max_depth': 48, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_leaf_node': 95}. 
Trial 6 finished with best value: 0.8720373191559923 and parameters: {'prop_minority': None, 'shrinkage': 1.4173631198628542, 'criterion': 'gini', 'max_features': None, 'max_depth': 13, 'min_samples_split': 23, 'min_samples_leaf': 8, 'max_leaf_node': 131}. 
Trial 9 finished with best value: 0.8757332214069561 and parameters: {'prop_minority': 0.4, 'shrinkage': 1.2036330407378024, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 24, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_leaf_node': 139}. 
Trial 16 finished with best value: 0.8773978671806989 and parameters: {'prop_minority': 0.4, 'shrinkage': 0.1715040205909315, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 16, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_leaf_node': 159}. 
Trial 31 finished with best value: 0.8784264498611284 and parameters: {'prop_minority': 0.5, 'shrinkage': 0.49748844819727456, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 26, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_leaf_node': 125}. 
Trial 33 finished with best value: 0.8797607573684865 and parameters: {'prop_minority': 0.35, 'shrinkage': 1.0005284265365335, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 26, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_leaf_node': 109}. 
Trial 34 finished with best value: 0.8805509783194461 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.9853507917145781, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 26, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_leaf_node': 109}. 
Trial 90 finished with best value: 0.8807686129420057 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.35873517283715495, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 23, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_leaf_node': 101}. 
Trial 92 finished with best value: 0.8810665651038428 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.3345467689733364, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 26, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_leaf_node': 101}. 
Trial 111 finished with best value: 0.8811300418687559 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.37862630070665043, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 25, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_node': 103}. 
Trial 168 finished with best value: 0.8812103594080336 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.37669194045942184, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 26, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_leaf_node': 100}. 
Trial 195 finished with best value: 0.8815199705675083 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.33570808754555737, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 47, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_leaf_node': 107}. 
Trial 235 finished with best value: 0.8815381067860548 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.33731697223949236, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 26, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_leaf_node': 107}. 
Trial 511 finished with best value: 0.8816365605438794 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.33758918215256434, 'criterion': 'log_loss', 'max_features': None, 'max_depth': 21, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_leaf_node': 115}. 
Trial 740 finished with best value: 0.8817078099738839 and parameters: {'prop_minority': 0.35, 'shrinkage': 0.337026220032733, 'criterion': 'entropy', 'max_features': None, 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_leaf_node': 112}. 

Elapsed time for the optimization process: 7 minutes 32.0 seconds
